<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20110210;00:00;10020.0000000;10033.0000000;9670.0000000;9759.0000000;936014
20110211;00:00;9755.0000000;10242.0000000;9678.0000000;10199.0000000;1199857
20110214;00:00;10199.0000000;10339.0000000;10120.0000000;10182.0000000;887667
20110215;00:00;10182.0000000;10333.0000000;9937.0000000;9966.0000000;919211
20110216;00:00;9970.0000000;10230.0000000;9905.0000000;10211.0000000;977474
20110217;00:00;10210.0000000;10318.0000000;10049.0000000;10161.0000000;784849
20110218;00:00;10165.0000000;10213.0000000;10015.0000000;10088.0000000;662255
20110221;00:00;10086.0000000;10232.0000000;10006.0000000;10042.0000000;611570
20110222;00:00;10038.0000000;10059.0000000;9753.0000000;9800.0000000;753067
20110224;00:00;9792.0000000;9839.0000000;9579.0000000;9787.0000000;1058913
20110225;00:00;9800.0000000;10118.0000000;9782.0000000;10098.0000000;844343
20110228;00:00;10098.0000000;10278.0000000;10018.0000000;10207.0000000;717909
20110301;00:00;10212.0000000;10316.0000000;9932.0000000;9951.0000000;967699
20110302;00:00;9940.0000000;10019.0000000;9816.0000000;10006.0000000;840461
20110303;00:00;10006.0000000;10285.0000000;10006.0000000;10265.0000000;724423
20110304;00:00;10276.0000000;10290.0000000;10002.0000000;10041.0000000;678466
20110305;00:00;10050.0000000;10193.0000000;10021.0000000;10147.0000000;284288
20110309;00:00;10141.0000000;10372.0000000;10115.0000000;10339.0000000;842249
20110310;00:00;10375.0000000;10375.0000000;9997.0000000;10000.0000000;137499
20110311;00:00;9995.0000000;10097.0000000;9850.0000000;10002.0000000;218650
20110314;00:00;10000.0000000;10065.0000000;9762.0000000;9859.0000000;581279
20110315;00:00;9854.0000000;9854.0000000;9434.0000000;9570.0000000;1015819
20110316;00:00;9565.0000000;9773.0000000;9351.0000000;9390.0000000;1189354
20110317;00:00;9394.0000000;9895.0000000;9394.0000000;9850.0000000;1112199
20110318;00:00;9859.0000000;10097.0000000;9816.0000000;10088.0000000;939127
20110321;00:00;10089.0000000;10207.0000000;10000.0000000;10085.0000000;761611
20110322;00:00;10094.0000000;10182.0000000;9955.0000000;10010.0000000;807375
20110323;00:00;10003.0000000;10198.0000000;9953.0000000;10185.0000000;729626
20110324;00:00;10186.0000000;10570.0000000;10127.0000000;10568.0000000;915903
20110325;00:00;10569.0000000;10721.0000000;10524.0000000;10694.0000000;922512
20110328;00:00;10693.0000000;10699.0000000;10564.0000000;10588.0000000;624313
20110329;00:00;10595.0000000;10775.0000000;10550.0000000;10700.0000000;803387
20110330;00:00;10700.0000000;10798.0000000;10660.0000000;10744.0000000;559637
20110331;00:00;10744.0000000;10765.0000000;10621.0000000;10657.0000000;471928
20110401;00:00;10655.0000000;10915.0000000;10651.0000000;10857.0000000;534090
20110404;00:00;10857.0000000;10955.0000000;10803.0000000;10867.0000000;625434
20110405;00:00;10867.0000000;10876.0000000;10605.0000000;10729.0000000;585869
20110406;00:00;10727.0000000;10847.0000000;10672.0000000;10776.0000000;583455
20110407;00:00;10774.0000000;10794.0000000;10630.0000000;10682.0000000;554461
20110408;00:00;10699.0000000;10982.0000000;10699.0000000;10912.0000000;547631
20110411;00:00;10921.0000000;10967.0000000;10717.0000000;10741.0000000;528202
20110412;00:00;10736.0000000;10736.0000000;10356.0000000;10484.0000000;594349
20110413;00:00;10491.0000000;10651.0000000;10374.0000000;10620.0000000;914002
20110414;00:00;10622.0000000;10700.0000000;10373.0000000;10700.0000000;891718
20110415;00:00;10689.0000000;10710.0000000;10495.0000000;10579.0000000;662757
20110418;00:00;10573.0000000;10607.0000000;10047.0000000;10179.0000000;958907
20110419;00:00;10169.0000000;10277.0000000;10120.0000000;10255.0000000;710102
20110420;00:00;10258.0000000;10449.0000000;10258.0000000;10392.0000000;663303
20110421;00:00;10395.0000000;10488.0000000;10257.0000000;10339.0000000;539009
20110422;00:00;10340.0000000;10500.0000000;10324.0000000;10487.0000000;311102
20110425;00:00;10479.0000000;10538.0000000;10187.0000000;10257.0000000;543367
20110426;00:00;10252.0000000;10298.0000000;10060.0000000;10288.0000000;687491
20110427;00:00;10293.0000000;10320.0000000;10000.0000000;10238.0000000;780224
20110428;00:00;10240.0000000;10280.0000000;9982.0000000;10206.0000000;687170
20110429;00:00;10197.0000000;10197.0000000;9989.0000000;10076.0000000;543820
20110503;00:00;10076.0000000;10076.0000000;9780.0000000;9804.0000000;659621
20110504;00:00;9800.0000000;10019.0000000;9656.0000000;9728.0000000;1037522
20110505;00:00;9735.0000000;9889.0000000;9507.0000000;9531.0000000;1012408
20110506;00:00;9536.0000000;9900.0000000;9505.0000000;9826.0000000;906471
20110510;00:00;9822.0000000;9995.0000000;9753.0000000;9834.0000000;768483
20110511;00:00;9840.0000000;9925.0000000;9606.0000000;9627.0000000;776816
20110512;00:00;9611.0000000;9826.0000000;9553.0000000;9815.0000000;943269
