<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20180701;00:00;217.0100000;232.2500000;201.1000000;214.8600000;1229280700
20180801;00:00;213.6100000;215.2000000;172.8000000;182.0000000;1770858570
20180901;00:00;181.7200000;205.6700000;165.9000000;203.3200000;1720149500
20181001;00:00;204.5000000;205.9800000;177.0200000;189.8000000;1806021980
20181101;00:00;189.5400000;204.7000000;185.5300000;194.0000000;1564499870
20181201;00:00;197.9900000;201.9000000;179.0400000;186.3400000;1143510640
20190101;00:00;186.3700000;218.1000000;186.0000000;217.9000000;1178536290
20190201;00:00;217.9900000;220.7000000;201.1000000;207.8000000;1312764610
20190301;00:00;208.4400000;219.2500000;202.2500000;214.4200000;1069818860
20190401;00:00;215.0500000;247.2300000;215.0100000;225.1700000;1564990380
20190501;00:00;226.0000000;237.4700000;224.1500000;233.2400000;1026259830
20190601;00:00;231.1800000;250.6500000;230.3500000;238.5500000;1020679560
20190701;00:00;240.9800000;245.5000000;228.5200000;233.4900000;777998730
20190801;00:00;232.1500000;232.4600000;212.8800000;224.2000000;1022199390
20190901;00:00;224.0500000;237.2000000;222.0500000;227.7100000;795427120
20191001;00:00;227.6100000;242.7800000;221.8700000;234.8900000;893477980
20191101;00:00;235.3500000;243.7400000;231.9700000;233.9800000;642056610
20191201;00:00;234.5900000;256.0000000;229.0300000;254.7500000;665341440
20200101;00:00;255.9700000;270.8000000;251.4000000;252.2000000;745103430
